"ID","name","lease.type","Cost.per.sqft","Area","MeanCost","Crime_SQMI","Labor_SQMI","DrivingTime","Cost.Rank","Safety.Rank","LaborForce.Rank","travel.Rank","parking.ratio","address"
"A1","City Center West","FSG","$ 27.6","11078 sqft",27.6,136,3811,"16.03 Mins",17,4,12,16,"3.95:1000","7201 W Lake Mead Blvd, Las Vegas, NV 89128"
"A2","The Canyons","FSG","$ 25.8","8963 sqft",25.8,59,2760,"19.35 Mins",15,1,13,21,"4:1000","1140 N Town Center Dr, Las Vegas, NV 89144"
"A3","4245 S Grand Canyon Dr","NNN","$ 22.8 - $ 28.8","16605 sqft",25.8,117,4305,"20.42 Mins",15,2,4,22,"3.71:1000","4245 S Grand Canyon Dr, Las Vegas, NV 89147"
"A4","Fort Apache Corporate Ctr","FSG","$ 28.8","9065 sqft",28.8,117,4305,"19.32 Mins",18,2,4,20,"5:1000","4730 S Fort Apache Rd, Las Vegas, NV 89147"
"A5","101 Convention Center","FSG","$ 18","( 7351 - 16936 ) sqft",18,658,1123,"3.87 Mins",10,22,22,1,"9.24:1000","101 Convention Center Dr, Las Vegas, NV 89109"
"A6","The 1785 Office Center","FSG","$ 12","10244 sqft",12,399,4319,"10.43 Mins",4,16,1,7,"4.1:1000","1785 E Sahara Ave, Las Vegas, NV 89104"
"A7","The HC 3773","FSG","$ 34.8","( 17997 - 18080 ) sqft",34.8,563,4156,"5.2 Mins",19,19,6,2,"3.5:1000","3773 Howard Hughes Pkwy, Las Vegas, NV 89169"
"A8","The HC 3800","FSG","$ 35.4","( 7919 - 9873 ) sqft",35.4,563,4156,"5.75 Mins",20,19,6,3,"3.5:1000","3800 Howard Hughes Pkwy, Las Vegas, NV 89169"
"A9","The HC 3993","FSG","$ 35.4","11187 sqft",35.4,563,4156,"6.28 Mins",20,19,6,4,"3.5:1000","3993 Howard Hughes Pkwy, Las Vegas, NV 89169"
"A10","Greystone Office Park","FSG","$ 16.2","( 3470 - 16102 ) sqft",16.2,208,2468,"13.75 Mins",7,5,14,12,"6.77:1000","2030 E Flamingo Rd, Las Vegas, NV 89119"
"A11","Pointe Flamingo","FSG","$ 17.4 - $ 19.8","( 10071 - 10693 ) sqft",18.6,208,2468,"14.92 Mins",11,5,14,15,"5.3:1000","4000 S Eastern Ave, Las Vegas, NV 89119"
"A12","Miracle Flights for Kids Plz","FSG","$ 19.8","12556 sqft",19.8,208,2468,"17.83 Mins",14,5,14,19,"5:1000","5740 S Eastern Ave, Las Vegas, NV 89119"
"B1","Commercial Center","MG","$ 19.2","6185 sqft",19.2,399,4319,"9.85 Mins",12,16,1,6,"Abundant","953 E Sahara Ave, Las Vegas, NV 89104"
"B2","1077 E Sahara Ave","FSG","$ 9","8000 sqft",9,399,4319,"8.9 Mins",1,16,1,5,"5.00 : 1000","1077 E Sahara Ave, Las Vegas, NV 89104"
"B3","Desert Inn Office Center","FSG","$ 10.8","( 5384 - 7167 ) sqft",10.8,269,4094,"13.15 Mins",2,13,9,11,"Abundant","2795 E Desert Inn Rd, Las Vegas, NV 89121"
"B4","Desert Inn Office Building","NNN","$ 10.8 - $ 12","( 5000 - 7000 ) sqft",11.4,269,4094,"14.03 Mins",3,13,9,14,"2.85 : 1000","3120 E Desert Inn Rd, Las Vegas, NV 89121"
"B5","Flamingo Grand Plaza","FSG","$ 15","5352 sqft",15,208,2468,"10.63 Mins",6,5,14,8,"4.29 : 1000","1050 E Flamingo Rd, Las Vegas, NV 89119"
"B6","Century Plaza","FSG","$ 12 - $ 15","( 5196 - 9549 ) sqft",13.5,208,2468,"12.97 Mins",5,5,14,9,"3.11 : 1000","1771 E Flamingo Rd, Las Vegas, NV 89119"
"B8","Desert Professional Plaza","NNN","$ 15.6 - $ 18","( 29000 - 44082 ) sqft",16.8,208,2468,"13.1 Mins",8,5,14,10,"3.39 : 1000","2225 E Flamingo Rd, Las Vegas, NV 89119"
"B9","East Flamingo Bussiness Ctr","NNN","$ 19.44","6063 sqft",19.44,269,4094,"16.87 Mins",13,13,9,17,"6.77 : 1000","3505 E Flamingo Rd, Las Vegas, NV 89121"
"B10","Executive Center","NNN","$ 17.76","9201 sqft",17.76,208,2468,"13.78 Mins",9,5,14,13,"4.00 : 1000","1455 E Tropicana Ave, Las Vegas, NV 89119"
"B11","Renaissance Office Park","NNN","$ NA","( 4970 - 5546 ) sqft",NA,208,2468,"17.45 Mins",22,5,14,18,"3.29 : 1000","2235 Renaissance Dr, Las Vegas, NV 89119"
